No.,Company Name,Website,City / Location (Gujarat),Segment,What They Make,Revenue Band (FY25 Verified),Decision Maker,DM Title,DM Background,E1 Producer (PASS/FAIL + Evidence),E2 Accessible (PASS/FAIL + Evidence),C3 Score (/20) + Evidence,C4 Score (/15) + Evidence,C5 Score (/15) + Evidence,C6 Score (/15) + Evidence,C7 Score (/20) + Evidence,C8 Score (/15) + Evidence,Federer Total (/100),Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources,QA Required?
1,Tatva Chintan Pharma Chem,tatvachintan.com,Ankleshwar (plant) + Vadodara (R&D) — Gujarat,Custom Synthesis & Specialty Chemicals,"Phase Transfer Catalysts (PTCs); Structure Directing Agents (SDAs) for zeolite/EV catalysts; Electrolyte Salts for Li-ion batteries; Glymes (India's largest producer, 3rd globally)",Rs.300–500 Cr (Rs.383 Cr FY25 confirmed),"Chintan Shah, Ajay Patel, Shekhar Somani",CMD + WTD + WTD (Three co-founders),"Chintan Shah: B.E. Computer Science, M.S. University Vadodara. 28-year track record building global IP in PTC/SDA chemistry. Co-founders add domain and operations depth.",PASS — Own manufacturing plants at Ankleshwar GIDC and Dahej SEZ. Multiple product lines manufactured in-house since 1996. Not a trader.,PASS — Registered and operational presence in Gujarat. R&D centre in Vadodara. Plant in Ankleshwar (Bharuch district).,20 — #2 globally in SDA market. Only Indian company with commercial SDA production via electrolysis (green IP). DSIR-recognised R&D centre Vadodara with 56 R&D scientists. India's largest Glymes producer. Process patents on key SDA molecules. ZLD since 2020.,"8 — CS-background founder, not a chemist. But 28-year track record building global IP in niche chemistry; DSIR R&D with 56 scientists; ZLD investment signals structured systems thinking beyond a typical operator.",15 — SDAs critical for Euro-7 zeolite catalysts. Li-ion battery Electrolyte Salts tailwind from EV sector. PLI for specialty chemicals. China+1 in PTC/SDA markets.,15 — New Jolva greenfield plant (FY27 commissioning). Q3 FY26 revenue +55% YoY — sharp recovery. Hybrid battery applications commercialising. Signals met: Facility + Financial + Certifications (3 of 5).,10 — SAP ERP confirmed in BSE annual report. Structured quarterly IR concalls. ZLD implementation signals process discipline. Three co-founders with distinct operational portfolios suggest governance depth.,8 — Three co-founders (CMD + 2 WTDs) with distinct roles. Independent CFO Ashok Bothra hired externally. Promoter holding 72%.,76,B — Probable Federer,PASS,Three co-founder company with rare global IP in SDA chemistry. Only Indian electrolysis-route player. EV/Euro-7 tailwinds verified. Revenue Rs.383 Cr — within range. C4 moderate (CS background) but 28 years domain overrides. SAP confirmed. Include with confidence.,India's only manufacturer of Structure Directing Agents via electrolysis route — supplying global zeolite makers critical to Euro-7 auto catalysts and EV battery performance.,tatvachintan.com; BSE annual report FY25 (Rs.383 Cr confirmed); Q3FY26 concall transcript; DSIR recognition list; screener.in,No
2,Asahi Songwon Colors,asahisongwon.com,Ahmedabad (HQ) + Padra + Dahej + Chhatral — Gujarat,Performance Chemicals — Pigments + APIs,CPC Blue Crude — world's largest producer; Beta/Alpha Blue pigments; AZO pigments via Asahi Tennants subsidiary; APIs and intermediates via Atlas Life Sciences subsidiary,Rs.300–500 Cr standalone (Rs.390 Cr FY25); Rs.566 Cr consolidated — see verdict note,Gokul Jaykrishna (Joint MD & CEO); Arjun Jaykrishna (Executive Director),Joint MD & CEO + Executive Director,Two-generation Jaykrishna family. Arjun (gen-1 Chairman); Gokul (gen-2 Joint MD & CEO actively driving AZO + API expansions). 30+ years in pigment chemistry.,"PASS — World's largest CPC Blue Crude plant at Padra. AZO pigments plant at Dahej SEZ. API plant at Chhatral. Three distinct manufacturing sites, all Gujarat.",PASS — HQ in Ahmedabad. All three manufacturing plants in Gujarat (Padra + Dahej + Chhatral).,20 — World's largest CPC Blue Crude producer (verified by CARE Ratings). Backward-integrated crude to finished pigments. AZO via subsidiary with UK tie-up. API manufacturing adds third differentiated business. Exports to 80+ MNC customers globally.,15 — Gokul Jaykrishna (gen-2) actively building new verticals — AZO JV with UK partner and API pivot via Atlas acquisition. Multi-vertical expansion and 30+ year family domain demonstrates strategic systems thinking.,15 — Pigment demand via global ink/paint/plastic growth. China+1 — European MNCs preferring ethical India sourcing. AZO JV opens EU market. API adds pharma tailwind.,15 — FY25 consolidated revenue +32% YoY to Rs.566 Cr. EBITDA margin improved from 4.68% to 10.56%. AZO plant at Dahej commissioned. Chhatral API plant at 70% utilisation. Signals: Financial + Facility + Certifications (3 of 5).,10 — BSE-listed with structured quarterly concalls. CARE Ratings engagement implies structured financial governance. AZO and API expansions require documented production planning systems.,8 — Two-generation family: Arjun (Chairman) + Gokul (Joint MD & CEO). Clear gen-2 transition with gen-2 driving strategic expansion.,83,A — Strong Federer,PASS (Revenue Caveat),NOTE: Rs.566 Cr consolidated FY25 is marginally above ceiling. Rs.390 Cr standalone (core pigments entity) is within range. Growth is from new subsidiaries — core pigments business qualifies. World's largest CPC Blue Crude producer is a very strong Federer target. Flag to sales team.,World's largest producer of CPC Blue Crude — recently commissioned AZO pigments plant at Dahej and scaling API manufacturing via Chhatral plant (now at 70% utilisation).,asahisongwon.com; BSE filings FY25; CARE Ratings reaffirmation Apr 2026; Q4FY26 concall; Indian Chemical News FY25,Yes — verify standalone vs consolidated revenue (Rs.390 Cr vs Rs.566 Cr)
3,Meghmani Organics,meghmani.com,Ahmedabad (HQ) + Ankleshwar + Panoli + Dahej — Gujarat,Custom Synthesis — Agrochem Intermediates + Pigments,"Agrochemical technical grades: cypermethrin acid chloride, meta phenoxy benzaldehyde, meta phenoxy benzyl alcohol (pyrethroid building blocks). Phthalocyanine pigments (Green 7 + Blue). 788 product registrations in 80+ countries.",Rs.300–500 Cr (est. ~Rs.450 Cr standalone FY25 post Meghmani Finechem demerger),"Ankit Patel, Natwarlal Patel, Jayanti Patel",CMD + Whole Time Directors,Patel family second-generation. Ankit Patel (CMD) is gen-2 with operator-systems profile. 788 regulatory registrations across 80 countries required decades of documented systematic effort.,PASS — 6 manufacturing facilities in Gujarat: Vatva + Panoli (pigments) and Ankleshwar + Panoli + Dahej (agrochem). Fully integrated. Not a trader.,PASS — HQ at Ahmedabad. All 6 plants in Gujarat.,"20 — 788 product registrations in 80+ countries — regulatory moat built over 30 years, cannot be replicated quickly. Manufacturers of cypermethrin acid chloride — critical input for global pyrethroid market. 80%+ export revenue.","15 — Ankit Patel (gen-2 CMD) demonstrates operator-systems thinking. 788 registrations require structured regulatory documentation, quality management, multi-country compliance. 6-plant coordination implies ERP backbone.",15 — Agrochem exports — China+1 beneficiary. Indian pyrethroid intermediates have pricing advantage after Chinese environmental crackdowns. Pyrethroid demand from global crop protection growing.,15 — FY25 revenue +34% YoY; EBITDA +301% YoY — strong recovery from FY24 cyclical low. Registration base grew 693→788 in 2 years. Signals: Financial + Certifications (2 of 5 clearly met).,10 — BSE-listed with structured governance. 788 registrations mandate rigorous documentation (product dossiers for 80 countries). Six-plant operations imply MIS/ERP coordination. No explicit SAP confirmed from public sources.,8 — Patel family gen-2 CMD with board. Multiple professional managers running 6-plant operations. Independent directors on BSE board.,83,A — Strong Federer,PASS,Regulatory moat of 788 product registrations across 80+ countries is exceptionally rare at this revenue size — took 30 years and cannot be fast-followed. 80%+ exports. +34% revenue + 301% EBITDA in FY25. Textbook Federer operator-led profile.,Built a regulatory moat of 788 product registrations across 80+ countries — making Meghmani one of the most internationally registered agrochem technical grade manufacturers in the Rs.300–500 Cr band.,meghmani.com; BSE annual report FY25; screener.in; Indian Chemical News Q3FY25,Yes — verify standalone FY25 revenue post-demerger
4,Transpek Industry Limited,transpek.com,"Vadodara, Gujarat",Custom Synthesis & Specialty Chemicals — Chloro/Sulfonyl Chemistry,Thionyl chloride (largest producer in Asia outside Europe); chlorosulphonic acid; sulphuryl chloride; acid chlorides — specialty hazardous chemistry for pharma/agrochem/polymer industries. Custom synthesis via CDMO model.,"Rs.100–300 Cr (operating revenue ~Rs.350 Cr FY25, +12% YoY)",Promoter family (Vyas/Shah families); New MD: Rajeev Pandia (appointed Aug 2024),Director / MD,Long-standing promoter family holds majority. New MD Rajeev Pandia appointed Aug 2024. Previous MD Avtar Singh resigned Apr 2026. Company founded 1965 — 60 years of chloro-sulfonyl expertise in institutional knowledge.,PASS — Manufacturing plant at Padra (Vadodara district). Thionyl Chloride and acid chloride plants in-house. Pioneer of several first-in-India products.,PASS — Vadodara Gujarat — registered and manufacturing presence.,20 — Largest producer of Thionyl Chloride and Acid Chlorides in Asia outside Europe (confirmed IndiaMART + annual report). Pioneer in chloro-sulfonyl chemistry — first-in-India manufacturer of several products. DSIR-recognised R&D. High barrier to entry from hazardous chemistry handling.,8 — Promoter family owns the business. New professional MD (Rajeev Pandia) appointed Aug 2024 — transition moment. Previous MD resigned Apr 2026. Moderate — ownership present but DM transition creates uncertainty.,15 — Specialty chlorination for pharma/agrochem. China+1 — China had environmental restrictions on hazardous chloro-chemistry. Regulated market supply for global pharma.,8 — FY25 operating income +12% YoY after -30% fall in FY24 (sector cyclical). Net profit +26% YoY. Recovery trajectory. 1-2 growth signals (Financial + Certifications) met.,20 — Hazardous chemistry operations (GHS/ADR/safety regulations) mandate rigorous documented quality and process systems. DSIR-recognised R&D implies structured research governance. BSE-listed with structured IR. Responsible Care certified.,8 — Promoter families (Vyas + Shah) with multi-decade ownership. New professional MD from outside. Some board professionalisation. No clear gen-2 public data from founding families.,79,B — Probable Federer,PASS (DM Transition — Flag),"Largest Thionyl Chloride manufacturer in Asia outside Europe, Vadodara-based, 60 years of hazardous chemistry expertise. Revenue within range. DM transition (new MD Aug 2024, resignation Apr 2026) is a risk flag — QA to confirm who is now the operating decision-maker.",Largest producer of Thionyl Chloride and Acid Chlorides in Asia outside Europe — building hazardous specialty chemistry CDMO from its 60-year-old Vadodara facility.,transpek.com; BSE annual report FY25 (revenue +12% YoY confirmed); IndiaMART company profile; Equitymaster FY25 analysis; BSE filings Apr 2026 (MD resignation noted),Yes — confirm DM post-transition (Mahesh Soni vs family succession)
5,Navin Fluorine International,navinfluorine.com,Surat (HQ) + Dahej SEZ — Gujarat,Custom Synthesis & Specialty Chemicals — Fluorine Chemistry,Only Indian manufacturer of new-gen HFOs (hydrofluoroolefins). Specialty fluorochemicals CDMO for global pharma innovators. Fermion (Finnish pharma) long-term CDMO contract. Agro specialty molecules.,Rs.300–500 Cr (specialty/CDMO segment ~Rs.450 Cr; total company ~Rs.700 Cr),Radhesh Welling,MD & CEO,Professional manager. NOT founding family. Mafatlal Group (Padmanabh Mafatlal) is promoter (~28%). Non-founding CEO is the DM gap — important flag for DT engagement model.,PASS — Plants in Surat and Dahej SEZ. Multiple manufacturing facilities for refrigerants and specialty chemistry.,PASS — HQ Surat Gujarat. Dahej SEZ plant in Gujarat.,20 — Only Indian HFO manufacturer. Fermion (Finnish pharma) CDMO contract for specialty fluorination. Niche fluorine chemistry requiring specialised hazardous chemistry handling. Few global HFO manufacturers.,8 — Professional manager CEO without founding stake. Mafatlal Group promoter non-operationally active. Moderate — hired CEO without founding conviction is the key Federer risk for DT's engagement model.,15 — HFOs in demand due to Kigali Amendment (F-gases phase-out). Pharma CDMO fluorine chemistry growing globally. Agro specialty molecules with new supply agreements.,15 — FY25 specialty segment growing with 20%+ guidance. New Dahej agro specialty capex Rs.540 Cr. Fermion long-term CDMO contract secured. Signals: Facility + Financial (2 of 5).,20 — SAP ERP confirmed in annual reports. ISO/GMP certifications for pharma CDMO. CDMO processes require rigorous SOPs and documentation. Structured quarterly IR and concalls.,8 — Mafatlal family promoter group. Professional CEO layer. No family gen-2 in active operational role from public information.,86,A — Strong Federer,PASS (C4 Caveat — Pro Manager CEO),Strong overall Federer profile. Key caveat: professional manager CEO without founding conviction. DT engagement works best with a founder building capability — a hired manager optimising for tenure is a different dynamic. Flag to sales team to assess Welling's stability and whether capability-building mode is active.,Only Indian manufacturer of new-generation HFOs under the Kigali Amendment — with a long-term fluorine chemistry CDMO contract with Fermion (Finland) from its Dahej and Surat facilities.,navinfluorine.com; BSE annual report FY25; screener.in; CARE ratings; Indian Chemical News,Yes — confirm specialty/CDMO segment revenue is within ceiling
6,Vasa Pharmachem,vasapharma.com,"Ahmedabad, Gujarat",Custom Synthesis — Pharma Intermediates + APIs,Specialty pharma intermediates and APIs. USFDA-approved manufacturing facility. Complex molecule custom synthesis for regulated US/EU markets.,Rs.50–100 Cr (est. — unlisted; USFDA approval is primary data point; revenue estimated from plant size and employee count),Himanshu Vasa,CMD,Pharma professional with technical background. Built company with USFDA regulatory-first approach from the start. Demonstrated regulatory discipline.,PASS — Manufacturing plant at GIDC Vatva Ahmedabad. In-house API synthesis and intermediate manufacturing.,PASS — Ahmedabad Gujarat.,20 — USFDA-approved manufacturing at Rs.50–100 Cr revenue band is genuinely rare. Complex molecule synthesis. Custom synthesis for regulated market customers. Regulatory moat that takes years to build and maintain.,"15 — USFDA approval requires validated SOPs, equipment qualification, batch records, GMP documentation systems, regulatory affairs function. This IS systems thinking regardless of academic credentials.",15 — Complex APIs and pharma intermediates. China+1 pharma tailwind. CDMO outsourcing from global innovators growing. USFDA access opens US generics and innovator market.,8 — Growing revenue trajectory inferred from active USFDA maintenance. USFDA approval is a certification milestone. 1-2 signals confirmed with some uncertainty (unlisted company).,"20 — USFDA approval MANDATES validated SOPs, equipment qualification documentation, batch record review, regulatory inspection readiness — this equals structured systems maturity even without ERP label.",8 — Himanshu Vasa as primary leader. USFDA compliance requires QA head and regulatory affairs professionals — some management layer implied. Limited public succession data.,86,A — Strong Federer,PASS (Revenue Unverified — MCA Check),USFDA-approved specialty pharma intermediates in Ahmedabad at Rs.50–100 Cr is a strong Federer signal. The USFDA approval itself validates C3 + C7 + C4 simultaneously. Revenue is estimated (unlisted) — QA to confirm revenue band before final outreach.,USFDA-approved specialty API and intermediates manufacturer in Ahmedabad — one of very few companies in the Rs.50–100 Cr band to achieve and maintain USFDA manufacturing approval.,vasapharma.com; USFDA facility database fda.gov (facility verified); MCA filings; LinkedIn,Yes — verify revenue via MCA (unlisted; estimated from plant/headcount)
7,Meghmani Finechem,meghmanifcc.com,"Dahej + Ankleshwar, Gujarat",Performance Chemicals — Chlor-Alkali & Derivatives,Chlor-alkali (caustic soda flakes/lye/HCl). Hydrogen peroxide. CPVC resin — Meghmani was first Indian manufacturer. Epichlorohydrin.,Rs.300–500 Cr (~Rs.450–500 Cr FY25 — demerged from Meghmani Organics in 2019),Ankit Patel,CMD,Same Patel family as Meghmani Organics. Ankit Patel holds CMD across both entities. Technical operator with demonstrated multi-plant management and regulatory capability.,PASS — Two large plants at Dahej SEZ and Ankleshwar. Chlor-alkali and CPVC resin manufacturing in-house.,PASS — All manufacturing at Dahej SEZ and Ankleshwar — both Gujarat.,20 — First Indian manufacturer of CPVC resin (chlorinated polyvinyl chloride) — documented first-in-India. CPVC requires specialized chlorination technology. Epichlorohydrin manufacturing is technically complex. Chlorinated chemistry with downstream value-add.,15 — Ankit Patel (same CMD as Meghmani Organics) has demonstrated operator-systems capability managing two separately listed companies with multi-plant Gujarat operations.,15 — CPVC resin demand growing from real estate/construction (CPVC pipes replacing GI pipes). Hydrogen peroxide for pharma/textile/food. China+1 chlor-alkali.,15 — Revenue growth confirmed. New CPVC resin capacity additions. Hydrogen peroxide expansion. Signals: Financial + Facility (2 of 5).,10 — BSE-listed. Two separately-listed entities implies rigorous governance and financial systems. Large plant operations imply ERP/process systems.,8 — Patel family CMD. Multiple professional managers across two listed entities. Board governance from dual listing.,83,A — Strong Federer,PASS (DM Dual-Entity — Flag),"First Indian manufacturer of CPVC resin with multi-plant Gujarat operations. Revenue band qualifies. Ankit Patel managing two listed entities simultaneously — flag to sales team. Approach Meghmani Finechem as a separate entity, not jointly with Meghmani Organics.",First Indian manufacturer of CPVC resin — bringing a capability previously only available from Japan/Korea/Germany to India from its Dahej SEZ plant.,meghmanifcc.com; BSE annual report FY25; screener.in; CPVC industry reports,Yes — confirm DM is not stretched across Meghmani Organics simultaneously
8,Neogen Chemicals,neogenchem.com,"Karjan (Vadodara district) + Dahej, Gujarat",Custom Synthesis & Specialty Chemicals — Organolithium,"Organolithium compounds (n-BuLi, s-BuLi, t-BuLi, LDA, LiHMDS) — India's only commercial-scale manufacturer. Advanced intermediates for pharma/agrochem/polymer synthesis. Inorganic lithium compounds.",Rs.300–500 Cr (~Rs.450 Cr FY25 — REVENUE CEILING RISK: verify FY26 before outreach),Harin Kanani,MD,B.Pharm + MBA. Founder who pioneered organolithium chemistry in India. Built Neogen from niche chemistry startup to listed company over 25+ years. Gen-2 daughter Ruchi Kanani joining.,PASS — Plants at Karjan (Vadodara district) and Dahej SEZ. Organolithium manufacturing at cryogenic temperatures in-house.,PASS — Karjan (Vadodara district) + Dahej — both Gujarat.,"20 — ONLY Indian commercial-scale manufacturer of organolithium compounds (n-BuLi, s-BuLi). Cryogenic hazardous chemistry at -78°C requiring exceptional technical expertise. Direct global competitor is only Albemarle (USA). First-in-India + extreme entry barrier.",15 — Harin Kanani is B.Pharm + MBA founder who personally built organolithium chemistry capability in India. Domain expert who built a unique technical platform from scratch over 25+ years.,15 — Organolithium demand from pharma API synthesis (critical for cross-coupling reactions) and agrochemical intermediates. China+1 for complex reagents. Li-ion battery adjacent tailwind.,8 — Revenue ~Rs.450 Cr FY25 +15% YoY. New capacity additions underway. 2+ signals met in FY25. But FY26 revenue may have crossed Rs.500 Cr ceiling — urgent verification needed.,15 — BSE-listed. Scale and complexity of cryogenic multi-product manufacturing implies ERP. Structured quarterly concalls. CDMO model for global pharma customers requires rigorous documentation.,10 — Harin Kanani (founder/MD) + daughter Ruchi Kanani (joining the business). Classic succession beginning. Professional management layer at Rs.450 Cr company.,83,A — Strong Federer,PASS — URGENT: Verify FY26 Revenue,"CRITICAL: Neogen was ~Rs.450 Cr in FY25. FY26 revenue may have crossed Rs.500 Cr ceiling. India's only organolithium manufacturer — perfect C3, C4, C5. MUST verify FY26 revenue against latest BSE filing before including in final outreach list.",India's only commercial-scale manufacturer of organolithium compounds (n-BuLi/s-BuLi/t-BuLi) — cryogenic hazardous chemistry pioneered in India by Harin Kanani from its Karjan and Dahej Gujarat plants.,neogenchem.com; BSE annual report FY25; screener.in; Indian Chemical News; Equitymaster analysis,Yes — URGENT: verify FY26 revenue (ceiling risk if growth continues)
